* Texas Instruments Data Flash File
* File created Mon Apr 18 19:42:16 2022
*
* Device Number 7695
* Firmware Version 0.36
* Build Number 39
* Order Number 0
*
* bqz Device Number 7692
* bqz Firmware Version 0.36
* bqz Build Number 39
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Internal Temp Model","Int Maximum AD","16383","—"
"Calibration","Internal Temp Model","Int Maximum Temp","6379","0.1K"
"Calibration","18K Temperature Model","Coeff a1","-15524","—"
"Calibration","18K Temperature Model","Coeff a2","26423","—"
"Calibration","18K Temperature Model","Coeff a3","-22664","—"
"Calibration","18K Temperature Model","Coeff a4","28834","—"
"Calibration","18K Temperature Model","Coeff a5","672","—"
"Calibration","18K Temperature Model","Coeff b1","-371","—"
"Calibration","18K Temperature Model","Coeff b2","708","—"
"Calibration","18K Temperature Model","Coeff b3","-3498","—"
"Calibration","18K Temperature Model","Coeff b4","5051","—"
"Calibration","18K Temperature Model","Adc0","11703","—"
"Calibration","180K Temperature Model","Coeff a1","-17513","—"
"Calibration","180K Temperature Model","Coeff a2","25759","—"
"Calibration","180K Temperature Model","Coeff a3","-23593","—"
"Calibration","180K Temperature Model","Coeff a4","32175","—"
"Calibration","180K Temperature Model","Coeff a5","2090","—"
"Calibration","180K Temperature Model","Coeff b1","-2055","—"
"Calibration","180K Temperature Model","Coeff b2","2955","—"
"Calibration","180K Temperature Model","Coeff b3","-3427","—"
"Calibration","180K Temperature Model","Coeff b4","4385","—"
"Calibration","180K Temperature Model","Adc0","17246","—"
"Calibration","Custom Temperature Model","Coeff a1","0","—"
"Calibration","Custom Temperature Model","Coeff a2","0","—"
"Calibration","Custom Temperature Model","Coeff a3","0","—"
"Calibration","Custom Temperature Model","Coeff a4","0","—"
"Calibration","Custom Temperature Model","Coeff a5","0","—"
"Calibration","Custom Temperature Model","Coeff b1","0","—"
"Calibration","Custom Temperature Model","Coeff b2","0","—"
"Calibration","Custom Temperature Model","Coeff b3","0","—"
"Calibration","Custom Temperature Model","Coeff b4","0","—"
"Calibration","Custom Temperature Model","Rc0","0","—"
"Calibration","Custom Temperature Model","Adc0","0","—"
"Calibration","Current Deadband","Coulomb Counter Deadband","9","234nV"
"Calibration","CUV","CUV Threshold Override","ffff","Hex"
"Calibration","COV","COV Threshold Override","ffff","Hex"
"Settings","Fuse","Min Blow Fuse Voltage","32767","mV"
"Settings","Fuse","Fuse Blow Timeout","0","s"
"Settings","Configuration","Power Config","2181","Hex"
"Settings","Configuration","REG12 Config","cc","Hex"
"Settings","Configuration","REG0 Config","00","Hex"
"Settings","Configuration","HWD Regulator Options","00","Hex"
"Settings","Configuration","Comm Type","00","—"
"Settings","Configuration","I2C Address","00","—"
"Settings","Configuration","SPI Configuration","20","—"
"Settings","Configuration","Comm Idle Time","0","s"
"Settings","Configuration","CFETOFF Pin Config","00","Hex"
"Settings","Configuration","DFETOFF Pin Config","09","Hex"
"Settings","Configuration","ALERT Pin Config","0e","Hex"
"Settings","Configuration","TS1 Config","0b","Hex"
"Settings","Configuration","TS2 Config","b3","Hex"
"Settings","Configuration","TS3 Config","0b","Hex"
"Settings","Configuration","HDQ Pin Config","0a","Hex"
"Settings","Configuration","DCHG Pin Config","0d","Hex"
"Settings","Configuration","DDSG Pin Config","0d","Hex"
"Settings","Configuration","DA Configuration","07","Hex"
"Settings","Configuration","Vcell Mode","d57f","Hex"
"Settings","Configuration","CC3 Samples","80","Num"
"Settings","Protection","Protection Configuration","0002","Hex"
"Settings","Protection","Enabled Protections A","88","Hex"
"Settings","Protection","Enabled Protections B","00","Hex"
"Settings","Protection","Enabled Protections C","00","Hex"
"Settings","Protection","CHG FET Protections A","98","Hex"
"Settings","Protection","CHG FET Protections B","d5","Hex"
"Settings","Protection","CHG FET Protections C","56","Hex"
"Settings","Protection","DSG FET Protections A","00","Hex"
"Settings","Protection","DSG FET Protections B","00","Hex"
"Settings","Protection","DSG FET Protections C","00","Hex"
"Settings","Protection","Body Diode Threshold","32767","mA"
"Settings","Alarm","Default Alarm Mask","f800","Hex"
"Settings","Alarm","SF Alert Mask A","9c","Hex"
"Settings","Alarm","SF Alert Mask B","44","Hex"
"Settings","Alarm","SF Alert Mask C","02","Hex"
"Settings","Alarm","PF Alert Mask A","00","Hex"
"Settings","Alarm","PF Alert Mask B","00","Hex"
"Settings","Alarm","PF Alert Mask C","00","Hex"
"Settings","Alarm","PF Alert Mask D","00","Hex"
"Settings","Permanent Failure","Enabled PF A","00","Hex"
"Settings","Permanent Failure","Enabled PF B","00","Hex"
"Settings","Permanent Failure","Enabled PF C","00","Hex"
"Settings","Permanent Failure","Enabled PF D","00","Hex"
"Settings","FET","FET Options","0c","Hex"
"Settings","FET","Chg Pump Control","03","Hex"
"Settings","FET","Precharge Start Voltage","0","mV"
"Settings","FET","Precharge Stop Voltage","0","mV"
"Settings","FET","Predischarge Timeout","0","10ms"
"Settings","FET","Predischarge Stop Delta","0","mV"
"Settings","Current Thresholds","Dsg Current Threshold","3","userA"
"Settings","Current Thresholds","Chg Current Threshold","2","userA"
"Settings","Cell Open-Wire","Check Time","5","s"
"Settings","Interconnect Resistances","Cell 1 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 2 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 3 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 4 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 5 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 6 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 7 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 8 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 9 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 10 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 11 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 12 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 13 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 14 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 15 Interconnect","0","mΩ"
"Settings","Interconnect Resistances","Cell 16 Interconnect","0","mΩ"
"Settings","Manufacturing","Mfg Status Init","0000","Hex"
"Settings","Cell Balancing Config","Balancing Configuration","00","Hex"
"Settings","Cell Balancing Config","Min Cell Temp","-20","°C"
"Settings","Cell Balancing Config","Max Cell Temp","45","°C"
"Settings","Cell Balancing Config","Max Internal Temp","60","°C"
"Settings","Cell Balancing Config","Cell Balance Interval","20","s"
"Settings","Cell Balancing Config","Cell Balance Max Cells","1","Num"
"Settings","Cell Balancing Config","Cell Balance Min Cell V (Charge)","3900","mV"
"Settings","Cell Balancing Config","Cell Balance Min Delta (Charge)","40","mV"
"Settings","Cell Balancing Config","Cell Balance Stop Delta (Charge)","20","mV"
"Settings","Cell Balancing Config","Cell Balance Min Cell V (Relax)","3900","mV"
"Settings","Cell Balancing Config","Cell Balance Min Delta (Relax)","40","mV"
"Settings","Cell Balancing Config","Cell Balance Stop Delta (Relax)","20","mV"
"Power","Shutdown","Shutdown Cell Voltage","3000","mV"
"Power","Shutdown","Shutdown Stack Voltage","3600","mV"
"Power","Shutdown","Low V Shutdown Delay","1","s"
"Power","Shutdown","Shutdown Temperature","85","°C"
"Power","Shutdown","Shutdown Temperature Delay","5","s"
"Power","Shutdown","FET Off Delay","0","0.25s"
"Power","Shutdown","Shutdown Command Delay","0","0.25s"
"Power","Shutdown","Auto Shutdown Time","0","min"
"Power","Shutdown","RAM Fail Shutdown Time","5","s"
"Power","Sleep","Sleep Current","20","mA"
"Power","Sleep","Voltage Time","5","s"
"Power","Sleep","Wake Comparator Current","500","mA"
"Power","Sleep","Sleep Hysteresis Time","10","s"
"Power","Sleep","Sleep Charger Voltage Threshold","3700","mV"
"Power","Sleep","Sleep Charger PACK-TOS Delta","200","mV"
"System Data","Integrity","Config RAM Signature","0000","Hex"
"Protections","CUV","Threshold","56","50.6mV"
"Protections","CUV","Delay","74","3.3 ms"
"Protections","CUV","Recovery Hysteresis","2","50.6mV"
"Protections","COV","Threshold","83","50.6mV"
"Protections","COV","Delay","74","3.3 ms"
"Protections","COV","Recovery Hysteresis","2","50.6mV"
"Protections","COVL","Latch Limit","0","—"
"Protections","COVL","Counter Dec Delay","10","s"
"Protections","COVL","Recovery Time","15","s"
"Protections","OCC","Threshold","4","mV"
"Protections","OCC","Delay","4","3.3 ms"
"Protections","OCC","Recovery Threshold","-200","mA"
"Protections","OCC","PACK-TOS Delta","200","mV"
"Protections","OCD1","Threshold","33","mV"
"Protections","OCD1","Delay","1","3.3 ms"
"Protections","OCD2","Threshold","33","mV"
"Protections","OCD2","Delay","1","3.3 ms"
"Protections","SCD","Threshold","4","—"
"Protections","SCD","Delay","2","µs"
"Protections","SCD","Recovery Time","5","s"
"Protections","OCD3","Threshold","-4000","userA"
"Protections","OCD3","Delay","1","s"
"Protections","OCD","Recovery Threshold","200","mA"
"Protections","OCDL","Latch Limit","0","—"
"Protections","OCDL","Counter Dec Delay","10","s"
"Protections","OCDL","Recovery Time","15","s"
"Protections","OCDL","Recovery Threshold","200","mA"
"Protections","SCDL","Latch Limit","0","—"
"Protections","SCDL","Counter Dec Delay","10","s"
"Protections","SCDL","Recovery Time","15","s"
"Protections","SCDL","Recovery Threshold","200","mA"
"Protections","OTC","Threshold","55","°C"
"Protections","OTC","Delay","2","s"
"Protections","OTC","Recovery","50","°C"
"Protections","OTD","Threshold","60","°C"
"Protections","OTD","Delay","2","s"
"Protections","OTD","Recovery","55","°C"
"Protections","OTF","Threshold","80","°C"
"Protections","OTF","Delay","2","s"
"Protections","OTF","Recovery","65","°C"
"Protections","OTINT","Threshold","85","°C"
"Protections","OTINT","Delay","2","s"
"Protections","OTINT","Recovery","80","°C"
"Protections","UTC","Threshold","0","°C"
"Protections","UTC","Delay","2","s"
"Protections","UTC","Recovery","5","°C"
"Protections","UTD","Threshold","0","°C"
"Protections","UTD","Delay","2","s"
"Protections","UTD","Recovery","5","°C"
"Protections","UTINT","Threshold","-20","°C"
"Protections","UTINT","Delay","2","s"
"Protections","UTINT","Recovery","-15","°C"
"Protections","Recovery","Time","3","s"
"Protections","HWD","Delay","3","s"
"Protections","Load Detect","Active Time","0","s"
"Protections","Load Detect","Retry Delay","0","s"
"Protections","Load Detect","Timeout","1","hrs"
"Protections","PTO","Charge Threshold","250","mA"
"Protections","PTO","Delay","1800","s"
"Protections","PTO","Reset","2","userAh"
"Permanent Fail","CUDEP","Threshold","0","mV"
"Permanent Fail","CUDEP","Delay","255","s"
"Permanent Fail","SUV","Threshold","32767","mV"
"Permanent Fail","SUV","Delay","255","s"
"Permanent Fail","SOV","Threshold","32767","mV"
"Permanent Fail","SOV","Delay","255","s"
"Permanent Fail","TOS","Threshold","32767","mV"
"Permanent Fail","TOS","Delay","255","s"
"Permanent Fail","SOCC","Threshold","32768","userA"
"Permanent Fail","SOCC","Delay","255","s"
"Permanent Fail","SOCD","Threshold","-32767","userA"
"Permanent Fail","SOCD","Delay","255","s"
"Permanent Fail","SOT","Threshold","120","°C"
"Permanent Fail","SOT","Delay","255","s"
"Permanent Fail","SOTF","Threshold","150","°C"
"Permanent Fail","SOTF","Delay","255","s"
"Permanent Fail","VIMR","Check Voltage","5500","mV"
"Permanent Fail","VIMR","Max Relax Current","32767","mA"
"Permanent Fail","VIMR","Threshold","5500","mV"
"Permanent Fail","VIMR","Delay","255","s"
"Permanent Fail","VIMR","Relax Min Duration","65535","s"
"Permanent Fail","VIMA","Check Voltage","5500","mV"
"Permanent Fail","VIMA","Min Active Current","32767","mA"
"Permanent Fail","VIMA","Threshold","5500","mV"
"Permanent Fail","VIMA","Delay","255","s"
"Permanent Fail","CFETF","OFF Threshold","5000","mA"
"Permanent Fail","CFETF","OFF Delay","255","s"
"Permanent Fail","DFETF","OFF Threshold","-10","mA"
"Permanent Fail","DFETF","OFF Delay","255","s"
"Permanent Fail","VSSF","Fail Threshold","32767","—"
"Permanent Fail","VSSF","Delay","255","s"
"Permanent Fail","2LVL","Delay","255","s"
"Permanent Fail","LFOF","Delay","255","s"
"Permanent Fail","HWMX","Delay","255","s"
"Security","Settings","Security Settings","00","Hex"
"Security","Keys","Unseal Key Step 1","0414","Hex"
"Security","Keys","Unseal Key Step 2","3672","Hex"
"Security","Keys","Full Access Key Step 1","ffff","Hex"
"Security","Keys","Full Access Key Step 2","ffff","Hex"
