* Setting Type,Number of Bytes,Address,Data
RAM,1,0x9233,0
RAM,1,0x9234,0
RAM,1,0x9235,5
RAM,2,0x9229,20
RAM,1,0x922b,5
RAM,2,0x922c,500
RAM,1,0x922e,10
RAM,2,0x922f,2000
RAM,1,0x9231,10
RAM,2,0x91c4,0
RAM,1,0x9255,50
RAM,2,0x9256,73
RAM,1,0x925b,2
RAM,1,0x9258,86
RAM,2,0x9259,73
RAM,1,0x925c,2
RAM,1,0x925d,0
RAM,1,0x925e,10
RAM,1,0x925f,15
RAM,1,0x9260,2
RAM,1,0x9261,3
RAM,2,0x9268,65336
RAM,1,0x9290,10
RAM,1,0x9262,4
RAM,1,0x9263,0
RAM,1,0x9264,3
RAM,1,0x9265,6
RAM,1,0x9266,0
RAM,1,0x9267,2
RAM,1,0x9274,5
RAM,2,0x926a,61536
RAM,1,0x926c,2
RAM,2,0x926d,200
RAM,1,0x926f,0
RAM,1,0x9270,10
RAM,1,0x9271,15
RAM,2,0x9272,200
RAM,1,0x9275,0
RAM,1,0x9276,10
RAM,1,0x9277,15
RAM,2,0x9278,200
RAM,1,0x927a,55
RAM,1,0x927b,2
RAM,1,0x927c,50
RAM,1,0x927d,60
RAM,1,0x927e,2
RAM,1,0x927f,55
RAM,1,0x9280,80
RAM,1,0x9281,2
RAM,1,0x9282,65
RAM,1,0x9283,85
RAM,1,0x9284,2
RAM,1,0x9285,80
RAM,1,0x9286,0
RAM,1,0x9287,2
RAM,1,0x9288,5
RAM,1,0x9289,0
RAM,1,0x928a,2
RAM,1,0x928b,5
RAM,1,0x928c,236
RAM,1,0x928d,2
RAM,1,0x928e,241
RAM,1,0x928f,3
RAM,2,0x9291,60
RAM,1,0x9293,0
RAM,1,0x9294,50
RAM,2,0x9295,1
RAM,2,0x9297,250
RAM,2,0x9299,1800
RAM,2,0x929b,2
RAM,2,0x92a5,1500
RAM,1,0x92a7,2
RAM,2,0x92a8,2200
RAM,1,0x92aa,5
RAM,2,0x92ab,4500
RAM,1,0x92ad,5
RAM,2,0x92ae,100
RAM,1,0x92b0,5
RAM,2,0x92b1,10000
RAM,1,0x92b3,5
RAM,2,0x92b4,33536
RAM,1,0x92b6,5
RAM,1,0x92b7,65
RAM,1,0x92b8,5
RAM,1,0x92b9,85
RAM,1,0x92ba,5
RAM,2,0x92bb,3500
RAM,2,0x92bd,10
RAM,2,0x92bf,500
RAM,1,0x92c1,5
RAM,2,0x92c2,100
RAM,2,0x92c4,3700
RAM,2,0x92c6,50
RAM,2,0x92c8,200
RAM,1,0x92ca,5
RAM,2,0x92cb,20
RAM,1,0x92cd,5
RAM,2,0x92ce,65516
RAM,1,0x92d0,5
RAM,2,0x92d1,100
RAM,1,0x92d3,5
RAM,1,0x92d4,5
RAM,1,0x92d5,5
RAM,1,0x92d6,5
RAM,1,0x9236,0
RAM,2,0x9237,1044
RAM,2,0x9239,13938
RAM,2,0x923b,65535
RAM,2,0x923d,65535
